0036 fff3 // group 6 point77
ffed ffe0 // group 6 point78
ffdd ffd5 // group 6 point79
ffdc ffef // group 7 point0
003d fffd // group 7 point1
0012 0015 // group 7 point2
ffd6 0000 // group 7 point3
0004 000f // group 7 point4
ffdc 0024 // group 7 point5
0003 0026 // group 7 point6
0010 0022 // group 7 point7
fff9 fffe // group 7 point8
ffe6 fff2 // group 7 point9
fff3 0008 // group 7 point10
000e ffed // group 7 point11
0019 fff7 // group 7 point12
fff7 001a // group 7 point13
fff0 ffed // group 7 point14
ffd8 ffe7 // group 7 point15
000c 0021 // group 7 point16
fff0 ffee // group 7 point17
0002 ffdf // group 7 point18
0026 ffff // group 7 point19
ffda fff7 // group 7 point20
0011 ffe2 // group 7 point21
000c 0007 // group 7 point22
003b 0011 // group 7 point23
ffff fffd // group 7 point24
000d fffc // group 7 point25
0003 0002 // group 7 point26
0000 ffff // group 7 point27
ffff fffe // group 7 point28
002f 000a // group 7 point29
000f 0017 // group 7 point30
ffff 0000 // group 7 point31
ffeb 0001 // group 7 point32
0000 000a // group 7 point33
fff4 001a // group 7 point34
0011 001b // group 7 point35
fff4 0024 // group 7 point36
fff0 001d // group 7 point37
fff4 fff3 // group 7 point38
fff5 ffff // group 7 point39
ffee 002f // group 7 point40
fff3 ffe9 // group 7 point41
fffb fff0 // group 7 point42
000f 0026 // group 7 point43
002f 000f // group 7 point44
fff1 0005 // group 7 point45
fff5 fff8 // group 7 point46
ffd7 fff6 // group 7 point47
fff7 0001 // group 7 point48
ffeb 0015 // group 7 point49
ffd6 0026 // group 7 point50
0011 000a // group 7 point51
ffd9 fff7 // group 7 point52
ffda fffd // group 7 point53
003f 003b // group 7 point54
0014 0014 // group 7 point55
fffb fff8 // group 7 point56
000c ffec // group 7 point57
fff4 001b // group 7 point58
fff8 ffde // group 7 point59
fff7 0016 // group 7 point60
000f ffe8 // group 7 point61
0008 000d // group 7 point62
fff9 0004 // group 7 point63
0007 0006 // group 7 point64
ffe4 fff4 // group 7 point65
0025 fff3 // group 7 point66
0016 fff4 // group 7 point67
ffea ffe6 // group 7 point68
003f 000e // group 7 point69
0005 0025 // group 7 point70
0005 0032 // group 7 point71
ffe1 fffb // group 7 point72
ffeb 0004 // group 7 point73
ffe1 fff6 // group 7 point74
0001 fffa // group 7 point75
fff6 ffee // group 7 point76
ffe6 fff3 // group 7 point77
0010 0020 // group 7 point78
fff9 ffd6 // group 7 point79
