ffc3 0057 // group 1 point63
003d 0017 // group 1 point64
ffee 0036 // group 1 point65
006a 00d0 // group 1 point66
fecb ffaf // group 1 point67
fefc 0064 // group 1 point68
010f 007f // group 1 point69
00dd 010c // group 1 point70
ff96 0039 // group 1 point71
00d8 0045 // group 1 point72
ff99 00e4 // group 1 point73
0116 fef3 // group 1 point74
0041 ff99 // group 1 point75
ffd1 ff2c // group 1 point76
ff21 004f // group 1 point77
00f7 ff0e // group 1 point78
ffd0 0043 // group 1 point79
ff90 00f6 // group 2 point0
00f2 003f // group 2 point1
010e 011a // group 2 point2
00f9 fef1 // group 2 point3
00ea 0059 // group 2 point4
ffb2 00a8 // group 2 point5
010f fee5 // group 2 point6
fed5 feed // group 2 point7
0047 005a // group 2 point8
ff90 00b9 // group 2 point9
ffda fee3 // group 2 point10
006d ff3e // group 2 point11
ff0b fec0 // group 2 point12
fffe 00ff // group 2 point13
ff1a ff1f // group 2 point14
0119 ffad // group 2 point15
ff41 00ed // group 2 point16
ff36 ff9c // group 2 point17
00f2 fefa // group 2 point18
00f9 fef7 // group 2 point19
ff98 ff14 // group 2 point20
fed5 ff39 // group 2 point21
00cb fedc // group 2 point22
ff3e 003b // group 2 point23
00f0 ff99 // group 2 point24
ffad ffce // group 2 point25
00f6 ff97 // group 2 point26
fee9 0127 // group 2 point27
0049 ffba // group 2 point28
fee9 ffe5 // group 2 point29
ffd7 ff1c // group 2 point30
ff2c 0101 // group 2 point31
0064 010f // group 2 point32
ff84 ffbd // group 2 point33
0053 00d7 // group 2 point34
ffaa 0113 // group 2 point35
0037 0061 // group 2 point36
ffb9 ffc3 // group 2 point37
fff0 ff06 // group 2 point38
0040 0049 // group 2 point39
0103 ffa7 // group 2 point40
ff9d ffb8 // group 2 point41
fef7 ff0d // group 2 point42
ffb8 ff21 // group 2 point43
ff1a 0079 // group 2 point44
0116 00bc // group 2 point45
00e5 00d3 // group 2 point46
ff21 0076 // group 2 point47
010f ffb8 // group 2 point48
ff18 ff94 // group 2 point49
ffac ffbd // group 2 point50
00e5 003a // group 2 point51
ffb9 0111 // group 2 point52
ffd0 ff45 // group 2 point53
ffa8 00e4 // group 2 point54
ff34 ffa8 // group 2 point55
fefb 011b // group 2 point56
ff7a 0047 // group 2 point57
0105 ffa1 // group 2 point58
0097 010d // group 2 point59
003c 00e0 // group 2 point60
ff00 fefa // group 2 point61
00ec 002f // group 2 point62
004c ff0e // group 2 point63
0106 00e3 // group 2 point64
ff10 ffa1 // group 2 point65
0055 ff7f // group 2 point66
0104 ff33 // group 2 point67
00f3 ffbb // group 2 point68
005f feb9 // group 2 point69
0066 ff1a // group 2 point70
00ea ffb1 // group 2 point71
007d 011d // group 2 point72
fef9 ffc0 // group 2 point73
